iteration,set,subset,amount
i=2; date: Mi 31. Jan 18:02:22 CET 2024,W1,W1notA,12
i=2; date: Mi 31. Jan 18:02:22 CET 2024,W1,AnotBi:lost,56331
i=2; date: Mi 31. Jan 18:02:22 CET 2024,W2,AnotBi:lost,1692
i=2; date: Mi 31. Jan 18:02:22 CET 2024,W2,inBis:grounds,98308
i=2; date: Mi 31. Jan 18:02:22 CET 2024,W1,W1notW3,12
i=2; date: Mi 31. Jan 18:02:22 CET 2024,W3,AnotBi:lost,1692
i=2; date: Mi 31. Jan 18:02:22 CET 2024,W3,inBis:grounds,98308
i=2; date: Mi 31. Jan 18:02:22 CET 2024,W4,AnotBi:lost,1692
i=2; date: Mi 31. Jan 18:02:22 CET 2024,W4,inBis:grounds,98308
i=2; date: Mi 31. Jan 18:02:22 CET 2024,W5,AnotBi:lost,1692
i=2; date: Mi 31. Jan 18:02:22 CET 2024,W5,inBis:grounds,98308
i=2; date: Mi 31. Jan 18:02:22 CET 2024,W6,AnotBi:lost,1692
i=2; date: Mi 31. Jan 18:02:22 CET 2024,W6,inBis:grounds,98308
i=2; date: Mi 31. Jan 18:02:22 CET 2024,R1,AnotBi:lost,1692
i=2; date: Mi 31. Jan 18:02:22 CET 2024,R1,CnotGrounds,0
i=2; date: Mi 31. Jan 18:02:22 CET 2024,R1,inBis:grounds,98090
i=2; date: Mi 31. Jan 18:02:22 CET 2024,R1,CnotR2,0
i=2; date: Mi 31. Jan 18:02:22 CET 2024,R1,CnotR3,0
i=2; date: Mi 31. Jan 18:02:22 CET 2024,R1,CnotR4,0
i=2; date: Mi 31. Jan 18:02:22 CET 2024,R1,CnotR5,0
i=2; date: Mi 31. Jan 18:02:22 CET 2024,R1,CnotR6,0
i=2; date: Mi 31. Jan 18:02:22 CET 2024,R1,CnotBi,0
i=2; date: Mi 31. Jan 18:02:22 CET 2024,R2,AnotBi:lost,1692
i=2; date: Mi 31. Jan 18:02:22 CET 2024,R2,CnotGrounds,0
i=2; date: Mi 31. Jan 18:02:22 CET 2024,R2,inBis:grounds,97395
i=2; date: Mi 31. Jan 18:02:22 CET 2024,R2,CnotR2,0
i=2; date: Mi 31. Jan 18:02:22 CET 2024,R2,CnotR3,0
i=2; date: Mi 31. Jan 18:02:22 CET 2024,R2,CnotR4,0
i=2; date: Mi 31. Jan 18:02:22 CET 2024,R2,CnotR5,0
i=2; date: Mi 31. Jan 18:02:22 CET 2024,R2,CnotR6,0
i=2; date: Mi 31. Jan 18:02:22 CET 2024,R2,CnotBi,0
i=2; date: Mi 31. Jan 18:02:22 CET 2024,R3,AnotBi:lost,1692
i=2; date: Mi 31. Jan 18:02:22 CET 2024,R3,CnotGrounds,0
i=2; date: Mi 31. Jan 18:02:22 CET 2024,R3,inBis:grounds,87632
i=2; date: Mi 31. Jan 18:02:22 CET 2024,R3,CnotR2,0
i=2; date: Mi 31. Jan 18:02:22 CET 2024,R3,CnotR3,0
i=2; date: Mi 31. Jan 18:02:22 CET 2024,R3,CnotR4,0
i=2; date: Mi 31. Jan 18:02:22 CET 2024,R3,CnotR5,0
i=2; date: Mi 31. Jan 18:02:22 CET 2024,R3,CnotR6,0
i=2; date: Mi 31. Jan 18:02:22 CET 2024,R3,CnotBi,0
i=3; date: Mi 31. Jan 18:02:22 CET 2024,W1,W1notA,0
i=3; date: Mi 31. Jan 18:02:22 CET 2024,W1,AnotBi:lost,56346
i=3; date: Mi 31. Jan 18:02:22 CET 2024,W2,AnotBi:lost,1687
i=3; date: Mi 31. Jan 18:02:22 CET 2024,W2,inBis:grounds,98313
i=3; date: Mi 31. Jan 18:02:22 CET 2024,W1,W1notW3,0
i=3; date: Mi 31. Jan 18:02:22 CET 2024,W3,AnotBi:lost,1687
i=3; date: Mi 31. Jan 18:02:22 CET 2024,W3,inBis:grounds,98313
i=3; date: Mi 31. Jan 18:02:22 CET 2024,W4,AnotBi:lost,1687
i=3; date: Mi 31. Jan 18:02:22 CET 2024,W4,inBis:grounds,98313
i=3; date: Mi 31. Jan 18:02:22 CET 2024,W5,AnotBi:lost,1687
i=3; date: Mi 31. Jan 18:02:22 CET 2024,W5,inBis:grounds,98313
i=3; date: Mi 31. Jan 18:02:22 CET 2024,W6,AnotBi:lost,1687
i=3; date: Mi 31. Jan 18:02:22 CET 2024,W6,inBis:grounds,98313
i=3; date: Mi 31. Jan 18:02:22 CET 2024,R1,AnotBi:lost,1687
i=3; date: Mi 31. Jan 18:02:22 CET 2024,R1,CnotGrounds,0
i=3; date: Mi 31. Jan 18:02:22 CET 2024,R1,inBis:grounds,98141
i=3; date: Mi 31. Jan 18:02:22 CET 2024,R1,CnotR2,0
i=3; date: Mi 31. Jan 18:02:22 CET 2024,R1,CnotR3,0
i=3; date: Mi 31. Jan 18:02:22 CET 2024,R1,CnotR4,0
i=3; date: Mi 31. Jan 18:02:22 CET 2024,R1,CnotR5,0
i=3; date: Mi 31. Jan 18:02:22 CET 2024,R1,CnotR6,0
i=3; date: Mi 31. Jan 18:02:22 CET 2024,R1,CnotBi,0
i=3; date: Mi 31. Jan 18:02:22 CET 2024,R2,AnotBi:lost,1687
i=3; date: Mi 31. Jan 18:02:22 CET 2024,R2,CnotGrounds,0
