exp,set,amount
i=2; date: Mi 31. Jan 18:02:22 CET 2024,A,99999
i=2; date: Mi 31. Jan 18:02:22 CET 2024,W1,43837
i=2; date: Mi 31. Jan 18:02:22 CET 2024,W2,98308
i=2; date: Mi 31. Jan 18:02:22 CET 2024,W3,98308
i=2; date: Mi 31. Jan 18:02:22 CET 2024,W4,98308
i=2; date: Mi 31. Jan 18:02:22 CET 2024,W5,98308
i=2; date: Mi 31. Jan 18:02:22 CET 2024,W6,98308
i=2; date: Mi 31. Jan 18:02:22 CET 2024,R1,98090
i=2; date: Mi 31. Jan 18:02:22 CET 2024,R2,97395
i=2; date: Mi 31. Jan 18:02:22 CET 2024,R3,87632
i=3; date: Mi 31. Jan 18:02:22 CET 2024,A,100000
i=3; date: Mi 31. Jan 18:02:22 CET 2024,W1,43653
i=3; date: Mi 31. Jan 18:02:22 CET 2024,W2,98313
i=3; date: Mi 31. Jan 18:02:22 CET 2024,W3,98313
i=3; date: Mi 31. Jan 18:02:22 CET 2024,W4,98313
i=3; date: Mi 31. Jan 18:02:22 CET 2024,W5,98313
i=3; date: Mi 31. Jan 18:02:22 CET 2024,W6,98313
i=3; date: Mi 31. Jan 18:02:22 CET 2024,R1,98141
i=3; date: Mi 31. Jan 18:02:22 CET 2024,R2,97362
i=3; date: Mi 31. Jan 18:02:22 CET 2024,R3,92494
i=4; date: Mi 31. Jan 18:02:22 CET 2024,A,99998
i=4; date: Mi 31. Jan 18:02:22 CET 2024,W1,43714
i=4; date: Mi 31. Jan 18:02:22 CET 2024,W2,98345
i=4; date: Mi 31. Jan 18:02:22 CET 2024,W3,98345
i=4; date: Mi 31. Jan 18:02:22 CET 2024,W4,98345
i=4; date: Mi 31. Jan 18:02:22 CET 2024,W5,98345
i=4; date: Mi 31. Jan 18:02:22 CET 2024,W6,98345
i=4; date: Mi 31. Jan 18:02:22 CET 2024,R1,87633
i=4; date: Mi 31. Jan 18:02:22 CET 2024,R2,86895
i=4; date: Mi 31. Jan 18:02:22 CET 2024,R3,85798
i=5; date: Mi 31. Jan 18:02:22 CET 2024,A,99999
i=5; date: Mi 31. Jan 18:02:22 CET 2024,W1,43837
i=5; date: Mi 31. Jan 18:02:22 CET 2024,W2,98336
i=5; date: Mi 31. Jan 18:02:22 CET 2024,W3,98336
i=5; date: Mi 31. Jan 18:02:22 CET 2024,W4,98336
i=5; date: Mi 31. Jan 18:02:22 CET 2024,W5,98336
i=5; date: Mi 31. Jan 18:02:22 CET 2024,W6,98336
i=5; date: Mi 31. Jan 18:02:22 CET 2024,R1,98135
i=5; date: Mi 31. Jan 18:02:22 CET 2024,R2,97619
i=5; date: Mi 31. Jan 18:02:22 CET 2024,R3,88673
i=6; date: Mi 31. Jan 18:02:22 CET 2024,A,100000
i=6; date: Mi 31. Jan 18:02:22 CET 2024,W1,43674
i=6; date: Mi 31. Jan 18:02:22 CET 2024,W2,98352
i=6; date: Mi 31. Jan 18:02:22 CET 2024,W3,98352
i=6; date: Mi 31. Jan 18:02:22 CET 2024,W4,98352
i=6; date: Mi 31. Jan 18:02:22 CET 2024,W5,98352
i=6; date: Mi 31. Jan 18:02:22 CET 2024,W6,98352
i=6; date: Mi 31. Jan 18:02:22 CET 2024,R1,98211
i=6; date: Mi 31. Jan 18:02:22 CET 2024,R2,97695
i=6; date: Mi 31. Jan 18:02:22 CET 2024,R3,84977
i=7; date: Mi 31. Jan 18:02:22 CET 2024,A,99999
i=7; date: Mi 31. Jan 18:02:22 CET 2024,W1,43722
i=7; date: Mi 31. Jan 18:02:22 CET 2024,W2,98190
i=7; date: Mi 31. Jan 18:02:22 CET 2024,W3,98301
i=7; date: Mi 31. Jan 18:02:22 CET 2024,W4,98301
i=7; date: Mi 31. Jan 18:02:22 CET 2024,W5,98301
i=7; date: Mi 31. Jan 18:02:22 CET 2024,W6,98301
i=7; date: Mi 31. Jan 18:02:22 CET 2024,R1,97867
i=7; date: Mi 31. Jan 18:02:22 CET 2024,R2,97487
i=7; date: Mi 31. Jan 18:02:22 CET 2024,R3,92624
i=8; date: Mi 31. Jan 18:02:22 CET 2024,A,99999
i=8; date: Mi 31. Jan 18:02:22 CET 2024,W1,43775
i=8; date: Mi 31. Jan 18:02:22 CET 2024,W2,98324
i=8; date: Mi 31. Jan 18:02:22 CET 2024,W3,98324
i=8; date: Mi 31. Jan 18:02:22 CET 2024,W4,98324
i=8; date: Mi 31. Jan 18:02:22 CET 2024,W5,98324
i=8; date: Mi 31. Jan 18:02:22 CET 2024,W6,98324
i=8; date: Mi 31. Jan 18:02:22 CET 2024,R1,98085
i=8; date: Mi 31. Jan 18:02:22 CET 2024,R2,97470
i=8; date: Mi 31. Jan 18:02:22 CET 2024,R3,79566
i=9; date: Mi 31. Jan 18:02:22 CET 2024,A,99998
i=9; date: Mi 31. Jan 18:02:22 CET 2024,W1,43727
i=9; date: Mi 31. Jan 18:02:22 CET 2024,W2,98323
i=9; date: Mi 31. Jan 18:02:22 CET 2024,W3,98323
i=9; date: Mi 31. Jan 18:02:22 CET 2024,W4,98323
i=9; date: Mi 31. Jan 18:02:22 CET 2024,W5,98323
i=9; date: Mi 31. Jan 18:02:22 CET 2024,W6,98293
i=9; date: Mi 31. Jan 18:02:22 CET 2024,R1,97567
i=9; date: Mi 31. Jan 18:02:22 CET 2024,R2,96194
i=9; date: Mi 31. Jan 18:02:22 CET 2024,R3,95980
i=10; date: Mi 31. Jan 18:02:22 CET 2024,A,99999
i=10; date: Mi 31. Jan 18:02:22 CET 2024,W1,43835
i=10; date: Mi 31. Jan 18:02:22 CET 2024,W2,98327
i=10; date: Mi 31. Jan 18:02:22 CET 2024,W3,98327
i=10; date: Mi 31. Jan 18:02:22 CET 2024,W4,98327
i=10; date: Mi 31. Jan 18:02:22 CET 2024,W5,98263
i=10; date: Mi 31. Jan 18:02:22 CET 2024,W6,92033
i=10; date: Mi 31. Jan 18:02:22 CET 2024,R1,90827
i=10; date: Mi 31. Jan 18:02:22 CET 2024,R2,90827
i=10; date: Mi 31. Jan 18:02:22 CET 2024,R3,90827
i=11; date: Mi 31. Jan 18:02:22 CET 2024,A,99998
i=11; date: Mi 31. Jan 18:02:22 CET 2024,W1,43857
i=11; date: Mi 31. Jan 18:02:22 CET 2024,W2,98347
i=11; date: Mi 31. Jan 18:02:22 CET 2024,W3,98347
i=11; date: Mi 31. Jan 18:02:22 CET 2024,W4,98347
i=11; date: Mi 31. Jan 18:02:22 CET 2024,W5,98347
i=11; date: Mi 31. Jan 18:02:22 CET 2024,W6,98347
i=11; date: Mi 31. Jan 18:02:22 CET 2024,R1,97487
i=11; date: Mi 31. Jan 18:02:22 CET 2024,R2,96189
i=11; date: Mi 31. Jan 18:02:22 CET 2024,R3,95007
i=12; date: Mi 31. Jan 18:02:22 CET 2024,A,99999
i=12; date: Mi 31. Jan 18:02:22 CET 2024,W1,43797
i=12; date: Mi 31. Jan 18:02:22 CET 2024,W2,98314
i=12; date: Mi 31. Jan 18:02:22 CET 2024,W3,98314
i=12; date: Mi 31. Jan 18:02:22 CET 2024,W4,98314
i=12; date: Mi 31. Jan 18:02:22 CET 2024,W5,98314
i=12; date: Mi 31. Jan 18:02:22 CET 2024,W6,98314
i=12; date: Mi 31. Jan 18:02:22 CET 2024,R1,97857
i=12; date: Mi 31. Jan 18:02:22 CET 2024,R2,93747
i=12; date: Mi 31. Jan 18:02:22 CET 2024,R3,88352
i=13; date: Mi 31. Jan 18:02:22 CET 2024,A,99998
i=13; date: Mi 31. Jan 18:02:22 CET 2024,W1,37689
i=13; date: Mi 31. Jan 18:02:22 CET 2024,W2,91929
i=13; date: Mi 31. Jan 18:02:22 CET 2024,W3,92448
i=13; date: Mi 31. Jan 18:02:22 CET 2024,W4,92448
i=13; date: Mi 31. Jan 18:02:22 CET 2024,W5,92448
i=13; date: Mi 31. Jan 18:02:22 CET 2024,W6,92448
i=13; date: Mi 31. Jan 18:02:22 CET 2024,R1,87458
i=13; date: Mi 31. Jan 18:02:22 CET 2024,R2,76593
i=13; date: Mi 31. Jan 18:02:22 CET 2024,R3,72798
i=14; date: Mi 31. Jan 18:02:22 CET 2024,A,99998
i=14; date: Mi 31. Jan 18:02:22 CET 2024,W1,43829
i=14; date: Mi 31. Jan 18:02:22 CET 2024,W2,98021
i=14; date: Mi 31. Jan 18:02:22 CET 2024,W3,98284
i=14; date: Mi 31. Jan 18:02:22 CET 2024,W4,98284
i=14; date: Mi 31. Jan 18:02:22 CET 2024,W5,98284
i=14; date: Mi 31. Jan 18:02:22 CET 2024,W6,98284
i=14; date: Mi 31. Jan 18:02:22 CET 2024,R1,97967
i=14; date: Mi 31. Jan 18:02:22 CET 2024,R2,97100
i=14; date: Mi 31. Jan 18:02:22 CET 2024,R3,88294
i=15; date: Mi 31. Jan 18:02:22 CET 2024,A,99999
i=15; date: Mi 31. Jan 18:02:22 CET 2024,W1,43676
i=15; date: Mi 31. Jan 18:02:22 CET 2024,W2,98344
i=15; date: Mi 31. Jan 18:02:22 CET 2024,W3,98344
i=15; date: Mi 31. Jan 18:02:22 CET 2024,W4,98344
i=15; date: Mi 31. Jan 18:02:22 CET 2024,W5,98326
i=15; date: Mi 31. Jan 18:02:22 CET 2024,W6,98287
i=15; date: Mi 31. Jan 18:02:22 CET 2024,R1,97850
i=15; date: Mi 31. Jan 18:02:22 CET 2024,R2,96571
i=15; date: Mi 31. Jan 18:02:22 CET 2024,R3,93435
